team_name,homepage_url,news_type,news_url,news_label
Allianz MTV Stuttgart,https://www.stuttgarts-schoenster-sport.de/,,,
Binder Blaubären TSV Flacht,https://binderblaubaeren.de/,,,
Dresdner SC,https://www.dscvolley.de/,,,
ETV Hamburger Volksbank Volleys,https://www.etv-hamburg.de/de/etv-hamburger-volksbank-volleys/,etv,https://www.etv-hamburg.de/de/etv-hamburger-volksbank-volleys/,Homepage ETV Hamburger Volksbank Volleys
Ladies in Black Aachen,https://ladies-in-black.de/,,,
SSC Palmberg Schwerin,https://www.schweriner-sc.com/,,,
Schwarz-Weiß Erfurt,https://schwarz-weiss-erfurt.de/,,,
Skurios Volleys Borken,https://www.skurios-volleys-borken.de/,rss,https://www.skurios-volleys-borken.de/blog/feed/,Homepage Skurios Volleys Borken
USC Münster,https://www.usc-muenster.de/,rss,https://www.usc-muenster.de/feed/,Homepage USC Münster
VC Wiesbaden,https://www.vc-wiesbaden.de/,,,
VfB Suhl LOTTO Thüringen,https://volleyball-suhl.de/,,,
